BattleEvent(seq=0, timestamp=0.0, category='join_party', value='name=<PokemonId.magikarp: 48> move_f=<Move.THUNDER_SHOCK: 228> move_ch=<Move.THUNDERBOLT: 229> move_tm=<Move.SURF: 215> level=7.0 atk_=39.111819744110065 def_=33.524416923522914 health=10 f_move_spd=1000 spd_=0 poke_type1=<PokemonType.electric: 12> poke_type2=<PokemonType.none: 18> f_move_type=<PokemonType.electric: 12> ch_move_type=<PokemonType.electric: 12> tm_move_type=<PokemonType.water: 10> tm_flag=False shiny=False energy=0 bonus_shield=1 status=1 choiced=False team_position=None joined team 1'),
 BattleEvent(seq=1, timestamp=0.0, category='join_party', value='name=<PokemonId.rattata: 36> move_f=<Move.TACKLE: 218> move_ch=<Move.BODY_SLAM: 16> move_tm=<Move.none: 255> level=3.0 atk_=22.220444425940485 def_=15.10127291083334 health=22.004711955785723 f_move_spd=500 spd_=0 poke_type1=<PokemonType.normal: 0> poke_type2=<PokemonType.none: 18> f_move_type=<PokemonType.normal: 0> ch_move_type=<PokemonType.normal: 0> tm_move_type=<PokemonType.none: 18> tm_flag=False shiny=False energy=0 bonus_shield=1 status=1 choiced=False team_position=None joined team 2'),
 BattleEvent(seq=2, timestamp=0.0, category='join_party', value='name=<PokemonId.pidgey: 32> move_f=<Move.QUICK_ATTACK: 173> move_ch=<Move.TWISTER: 232> move_tm=<Move.none: 255> level=3.0 atk_=18.337259963154768 def_=15.748470321297626 health=25.88789641857144 f_move_spd=1000 spd_=0 poke_type1=<PokemonType.normal: 0> poke_type2=<PokemonType.flying: 2> f_move_type=<PokemonType.normal: 0> ch_move_type=<PokemonType.dragon: 15> tm_move_type=<PokemonType.none: 18> tm_flag=False shiny=False energy=0 bonus_shield=1 status=1 choiced=False team_position=None joined team 2'),
 BattleEvent(seq=3, timestamp=0.0, category='join_party', value='name=<PokemonId.rattata_alolan: 37> move_f=<Move.QUICK_ATTACK: 173> move_ch=<Move.HYPER_FANG: 112> move_tm=<Move.none: 255> level=3.0 atk_=22.220444425940485 def_=15.10127291083334 health=22.004711955785723 f_move_spd=1000 spd_=0 poke_type1=<PokemonType.dark: 16> poke_type2=<PokemonType.normal: 0> f_move_type=<PokemonType.normal: 0> ch_move_type=<PokemonType.normal: 0> tm_move_type=<PokemonType.none: 18> tm_flag=False shiny=False energy=0 bonus_shield=1 status=1 choiced=False team_position=None joined team 2'),BattleEvent(seq=4, timestamp=0.0, category='Turn', value='1')
BattleEvent(seq=5, timestamp=0.0, category='team1_active', value='PokemonId.magikarp is fighting for team 1')
BattleEvent(seq=100, timestamp=3500.0, category='FocusBand post_combat', value='1 magikarp revived with 6.167810037732113 hp and 100 ENG')
BattleEvent(seq=101, timestamp=3500.0, category='Turn', value='36')
BattleEvent(seq=102, timestamp=3500.0, category='team1_active', value='PokemonId.magikarp is fighting for team 1')
BattleEvent(seq=103, timestamp=3500.0, category='team2_active', value='PokemonId.rattata is fighting for team2')
BattleEvent(seq=104, timestamp=3600.0, category='Attack', value='team 1 magikarp used STRUGGLE on team 2 rattata')
BattleEvent(seq=105, timestamp=3600.0, category='Energy Use', value='team 1 magikarp has 0 energy left')
BattleEvent(seq=106, timestamp=3600.0, category='Charged Move Damage', value='team 2 rattata took 15 damage: ')
BattleEvent(seq=107, timestamp=3600.0, category='Health', value='team 2 rattata has -9 hp left')
BattleEvent(seq=108, timestamp=3600.0, category='Team2 Faint', value='team 1 magikarp KOs team 2 rattata')
BattleEvent(seq=109, timestamp=3600.0, category='FocusBand post_combat', value='1 magikarp revived with 6.167810037732113 hp and 100 ENG')
BattleEvent(seq=110, timestamp=3600.0, category='Turn', value='37')
BattleEvent(seq=111, timestamp=3600.0, category='team1_active', value='PokemonId.magikarp is fighting for team 1')
BattleEvent(seq=112, timestamp=3600.0, category='team2_active', value='PokemonId.pidgey is fighting for team2')
BattleEvent(seq=113, timestamp=3700.0, category='Turn', value='38')
BattleEvent(seq=114, timestamp=3800.0, category='Turn', value='39')
BattleEvent(seq=115, timestamp=3900.0, category='Turn', value='40')
BattleEvent(seq=116, timestamp=4000.0, category='Turn', value='41')
BattleEvent(seq=124, timestamp=4000.0, category='Fast Attack Damage', value='team 1 magikarp took 3 damage: ')
BattleEvent(seq=125, timestamp=4000.0, category='Health', value='team 1 magikarp has 2 hp left')
BattleEvent(seq=126, timestamp=4000.0, category='Turn', value='41')
BattleEvent(seq=127, timestamp=4100.0, category='Turn', value='42')
BattleEvent(seq=128, timestamp=4200.0, category='Turn', value='43')
BattleEvent(seq=129, timestamp=4300.0, category='Turn', value='44')
BattleEvent(seq=130, timestamp=4400.0, category='Turn', value='45')
BattleEvent(seq=131, timestamp=4500.0, category='Team1 Faint', value='team 2 rattata KOs team 1 magikarp')
BattleEvent(seq=132, timestamp=4500.0, category='FocusBand post_combat', value='1 magikarp revived with 6.167810037732113 hp and 100 ENG')
BattleEvent(seq=133, timestamp=4500.0, category='Turn', value='46')
BattleEvent(seq=134, timestamp=4500.0, category='team1_active', value='PokemonId.magikarp is fighting for team 1')
BattleEvent(seq=135, timestamp=4500.0, category='team2_active', value='PokemonId.rattata is fighting for team2')
BattleEvent(seq=136, timestamp=4600.0, category='Attack', value='team 1 magikarp used STRUGGLE on team 2 rattata')
BattleEvent(seq=137, timestamp=4600.0, category='Energy Use', value='team 1 magikarp has 0 energy left')
BattleEvent(seq=138, timestamp=4600.0, category='Shield', value='team 2 rattata used a shield')
BattleEvent(seq=139, timestamp=4600.0, category='Charged Move Damage', value='team 2 rattata took 1 damage: it was barely effective')
BattleEvent(seq=140, timestamp=4600.0, category='Health', value='team 2 rattata has 19 hp left')
BattleEvent(seq=141, timestamp=4600.0, category='Turn', value='47')
BattleEvent(seq=142, timestamp=4700.0, category='Turn', value='48')
BattleEvent(seq=143, timestamp=4800.0, category='Turn', value='49')
BattleEvent(seq=144, timestamp=4900.0, category='Turn', value='50')
BattleEvent(seq=145, timestamp=5000.0, category='Team1 Faint', value='team 2 rattata KOs team 1 magikarp')
